tweet,date
•Erken gelen kutlama. 🍺 🍻• #izmir #tuborg #tuborggold #tuborg #happynewyear #celebration #2019 #fun #girls #turkey #beautiful #surprise #love #instagood #me #cute #like #happy #instadaily…  https://www.instagram.com/p/BriSuIcghcx/?utm_source=ig_twitter_share&igshid=1agc681hfuivd …,2018-12-18
Sayın yetkililer lütfen 2009 yılı fiyatlarına dönebilir miyiz ?  #tuborg  https://twitter.com/mortifera/status/1074256662003879936 …,2018-12-17
#tuborg  çivi çivi  pic.twitter.com/H3AeuKqn03,2018-12-16
Tabi ki de #tuborg,2018-12-16
Bugün ki #tuborg ile kültür turumuzda Apollon tapınağını inceleyeceğiz  pic.twitter.com/lMIlckv3pQ,2018-12-15
Bu günler de dolapta ağzı açık kalmış bira kutusu gibiyim gazım keyfimmiş gibi kaçmış #tuborg,2018-12-12
Adam gibi takımla 5. Yıl  200.000 litre #tuborg #tuborggold #adamgibibira #gerekeniyap @ Konak cafe restaurant - konakgastropub  https://www.instagram.com/p/BrP-0clF4FA6z2tZG0f4gBNW4Us6UaopGruSqo0/?utm_source=ig_twitter_share&igshid=ppwirjlaiicg …,2018-12-11
"Çok tepkiliyiz, aşırı..  #chill #tuborg @ Role Street Hostel & Coffee  https://www.instagram.com/p/BrPxHv1HYw9/?utm_source=ig_twitter_share&igshid=eviwy7sez3go …",2018-12-11
ozcanturee   #maltepe #kartal #bostanci #pendik #türkü #yakacık #kadıköy #saz #gece #umraniye #beyoglu #sisli #besiktas #eglencemekani #mekan #halaylar #oyunhavalari #raki #meze #tuborg…  https://www.instagram.com/p/BrI9pTfBUJT/?utm_source=ig_twitter_share&igshid=1c81ffnwqgjjj …,2018-12-08
ozcanturee #maltepe #kartal #bostanci #pendik #türkü #yakacık #kadıköy #saz #gece #umraniye #beyoglu #sisli #besiktas #eglencemekani #mekan #halaylar #oyunhavalari #raki #meze #tuborg…  https://www.instagram.com/p/BrI6o_aBUc9/?utm_source=ig_twitter_share&igshid=1gc79d32kve3f …,2018-12-08
ozcanturee   #maltepe #kartal #bostanci #pendik #türkü #yakacık #kadıköy #saz #gece #umraniye #beyoglu #sisli #besiktas #eglencemekani #mekan #halaylar #oyunhavalari #raki #meze #tuborg…  https://www.instagram.com/p/BrI49_cB_Qo/?utm_source=ig_twitter_share&igshid=1oa0srgcy00ua …,2018-12-08
Çok yaratıcı değil mi #tuborg #efsanebira pic.twitter.com/MM1pbk1a67,2018-12-08
